"vtkOriginalCellIds","Cell Type"
0,5
15,5
16,5
17,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
47,5
62,5
63,5
65,5
66,5
110,5
111,5
114,5
115,5
116,5
117,5
118,5
119,5
125,5
126,5
127,5
130,5
190,5
192,5
193,5
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,5
206,5
207,5
208,5
209,5
210,5
212,5
213,5
303,5
304,5
305,5
321,5
325,5
326,5
327,5
328,5
329,5
330,5
361,5
